10,112,9,4,99
21,108,6,4,98
32,107,7,4,96
42,103,5,0,98
53,98,4,-1,95
69,103,3,0,100
89,106,2,3,101
109,104,0,3,101
130,109,1,6,102
150,110,3,10,97
171,111,7,7,97
257,103,3,3,97
268,100,3,0,97
278,110,3,5,102
289,115,2,8,105
300,116,1,9,106
311,114,0,9,105
332,106,1,6,99
352,100,8,3,89
372,116,8,8,100
392,118,6,2,110
412,110,3,2,105
434,100,4,3,93
453,103,6,0,97
473,110,4,5,101
494,111,3,7,101
515,104,2,4,98
534,119,5,9,105
556,115,3,9,103
576,101,3,2,96
596,106,4,3,99
615,103,2,2,99
636,105,5,0,100
656,115,7,3,105
677,114,8,2,104
698,110,8,6,96
718,110,3,11,96
738,108,2,7,99
759,103,0,0,103
779,111,4,1,106
800,106,3,1,102
821,112,6,8,98
841,104,11,1,92
861,121,13,1,107
884,115,3,8,104
904,100,0,6,94
923,105,0,8,97
943,110,4,5,101
964,106,4,0,102
985,107,0,5,102
1005,102,2,3,97
1027,123,11,13,99
1049,113,5,4,104
1071,106,3,1,102
1093,107,3,4,100
1115,102,1,3,98
1135,101,1,2,98
1157,105,2,3,100
1178,113,7,2,104
1200,110,3,4,103
1222,106,2,7,97
1243,103,6,4,93
1263,114,7,3,104
1286,108,4,0,104
1307,106,4,1,101
1329,105,4,4,97
1350,107,2,7,98
1371,110,5,8,97
1391,112,5,2,105
1413,108,2,1,105
1435,99,2,3,94
1455,103,4,5,94
1475,114,4,5,105
1498,110,4,3,103
1519,101,5,1,95
1540,107,3,4,100
1562,108,5,2,101
1584,105,3,1,101
1605,105,2,3,100
1628,106,2,4,100
1649,110,6,5,99
1670,108,7,4,97
1691,111,3,2,106
1713,102,0,2,100
1734,98,2,2,94
1755,105,7,0,98
1775,108,5,0,103
1797,115,7,9,99
1818,114,7,8,99
1839,104,1,3,100
1860,107,1,2,104
1883,100,2,0,98
1903,104,3,6,95
1924,111,3,8,100
1945,117,5,6,106
1968,103,5,0,98
1988,104,6,-1,99
2010,112,6,5,101
2032,104,1,3,100
2054,101,2,0,99
2074,107,3,3,101
2097,112,3,7,102
2118,106,3,6,97
2139,105,4,2,99
2160,114,6,4,104
2182,108,5,5,98
2202,104,5,3,96
2224,104,2,4,98
2244,104,0,1,103
2266,115,3,11,101
2289,103,7,1,95
2310,116,3,5,108
2331,143,17,16,110
2356,99,4,7,88
2375,106,5,13,88
2397,119,4,6,109
2420,129,5,17,107
2442,117,10,4,103
2465,108,6,5,97
2486,110,5,11,94
2508,109,3,7,99
2528,112,4,0,108
2551,127,15,8,104
2573,83,8,1,74
2593,122,5,0,117
2615,129,7,14,108
2638,122,10,12,100
2661,133,15,15,103
2686,91,0,0,91
2705,111,5,4,102
2727,111,5,5,101
2749,103,0,4,99
2770,108,7,5,96
2790,112,7,-1,106
2814,125,17,7,101
2836,113,12,12,89
2859,167,48,10,109
2883,134,27,16,91
2906,121,12,13,96
2928,145,14,18,113
2953,117,18,5,94
2975,123,6,18,99
2996,115,10,1,104
3020,112,11,5,96
3041,130,14,14,102
3065,117,14,-1,104
3089,114,7,5,102
3111,101,0,5,96
3131,98,0,0,98
3152,108,1,9,98
3172,119,2,15,102
3195,122,11,8,103
3218,112,7,4,101
3240,119,4,13,102
3262,99,0,2,97
3283,107,2,13,92
3304,109,1,3,105
3326,125,10,8,107
3349,116,4,11,101
3372,123,6,24,93
3393,113,12,4,97
3416,106,3,6,97
3436,127,5,12,110
3459,105,0,4,101
3481,112,2,10,100
3504,97,8,2,87
3523,127,14,14,99
3547,118,7,5,106
3568,105,2,0,103
3590,112,6,3,103
3612,99,0,7,92
3632,104,0,5,99
3652,103,1,0,102
3674,109,5,0,104
3696,105,3,3,99
3717,104,2,5,97
3737,114,10,5,99
3760,114,9,4,101
3781,111,0,4,107
3803,98,1,2,95
3823,100,9,0,91
3844,118,5,6,107
3865,109,0,5,104
3888,101,4,0,97
3908,102,3,2,97
3929,111,2,7,102
3951,114,7,6,101
3973,112,6,4,102
3994,109,7,1,101
4017,100,5,0,95
4037,105,3,2,100
4059,110,1,5,104
4081,105,0,10,95
4103,109,5,3,101
4124,111,10,0,101
4148,116,5,10,101
4171,95,0,0,95
4190,101,1,2,98
4212,115,7,1,107
4233,113,6,2,105
4255,148,39,6,103
4278,109,21,3,85
4300,149,28,16,105
4323,157,32,12,113
4348,108,4,3,101
4369,120,24,3,93
4391,95,-1,7,89
4412,125,14,17,94
4435,157,35,12,110
4458,137,11,9,117
4482,116,20,-1,97
4504,94,14,9,71
4525,163,34,31,98
4548,159,26,13,120
4572,138,8,16,114
4594,108,23,2,83
4617,116,27,5,84
4639,126,15,14,97
4661,146,21,8,117
4685,135,11,16,108
4708,121,11,15,95
4731,106,18,0,88
4753,116,9,12,95
4775,132,5,18,109
4797,125,16,0,109
4821,126,17,11,98
4843,103,6,5,92
4864,101,5,1,95
4885,115,4,4,107
4907,119,4,5,110
4928,100,2,10,88
4951,106,4,11,91
4972,115,5,8,102
4994,111,7,2,102
5016,122,4,8,110
5038,103,0,4,99
5058,105,7,4,94
5080,113,9,6,98
5100,113,4,3,106
5122,114,6,6,102
5144,106,3,6,97
5165,103,2,3,98
5185,105,3,4,98
5206,108,4,6,98
5227,114,8,5,101
5249,110,7,0,103
5270,107,6,0,101
5293,105,4,5,96
5313,107,2,5,100
5335,107,3,4,100
5357,107,5,2,100
5379,111,4,3,104
5400,106,3,5,98
5422,107,4,5,98
5442,101,2,0,99
5463,110,3,3,104
5485,113,8,3,102
5507,104,6,2,96
5527,98,1,1,96
5548,108,4,0,104
5569,122,9,7,106
5591,109,5,8,96
5612,94,0,0,94
5632,99,3,0,96
5651,116,3,7,106
5673,127,9,10,108
5696,107,8,4,95
5717,94,3,0,91
5736,105,1,7,97
5758,114,4,5,105
5779,118,5,3,110
5801,111,8,5,98
5822,89,2,1,86
5842,107,4,0,103
5863,112,4,5,103
5886,111,5,5,101
5907,105,3,0,102
5929,96,3,-1,94
5950,99,5,0,94
5970,112,2,7,103
5991,119,3,9,107
6014,112,7,6,99
6034,98,3,0,95
6054,95,1,0,94
6073,105,3,3,99
6095,115,5,3,107
6116,111,3,5,103
6138,108,7,3,98
6159,106,5,4,97
6180,104,2,4,98
6200,111,4,4,103
6223,109,4,2,103
6244,106,4,3,99
6265,103,3,3,97
6286,104,3,3,98
6307,117,6,8,103
6328,113,7,3,103
6351,107,5,3,99
6371,99,1,2,96
6391,102,1,1,100
6413,108,6,1,101
6435,114,5,8,101
6456,114,7,6,101
6479,105,2,4,99
6499,105,5,2,98
6520,105,4,1,100
6542,106,1,3,102
6564,112,7,4,101
6585,108,7,3,98
