,Time,xVolt,yVolt
318,791,1659,1666
319,794,1653,1650
320,796,1646,1653
321,799,1653,1653
322,801,1659,1643
323,804,1643,1653
324,806,1659,1662
325,809,1662,1662
326,811,1656,1659
327,814,1646,1650
328,816,1656,1653
329,819,1646,1650
330,821,1650,1666
331,824,1659,1656
332,827,1643,1653
333,830,1653,1643
334,832,1650,1656
335,835,1646,1646
336,837,1653,1656
337,840,1666,1653
338,842,1662,1643
339,845,1646,1653
340,847,1653,1646
341,850,1643,1646
342,852,1659,1656
343,855,1662,1653
344,857,1653,1662
345,860,1650,1666
346,862,1650,1646
347,865,1643,1653
348,867,1646,1637
349,871,1659,1650
350,873,1659,1653
351,876,1659,1653
352,878,1643,1653
353,881,1646,1653
354,883,1643,1646
355,886,1653,1650
356,888,1653,1656
357,890,1659,1656
358,893,1656,1662
359,895,1643,1650
360,898,1643,1653
361,900,1653,1646
362,903,1666,1653
363,905,1646,1650
364,908,1659,1650
365,910,1653,1659
366,914,1656,1656
367,916,1646,1643
368,919,1646,1646
369,921,1643,1656
370,924,1653,1662
371,926,1653,1650
372,929,1650,1650
373,931,1643,1653
374,934,1650,1656
375,936,1650,1659
376,939,1650,1662
377,941,1650,1662
378,944,1653,1659
379,946,1653,1643
380,949,1640,1643
381,951,1640,1653
382,955,1646,1643
383,957,1646,1656
384,960,1650,1659
385,962,1650,1653
386,965,1653,1656
387,967,1640,1659
388,970,1643,1659
389,972,1659,1656
390,975,1653,1659
391,977,1656,1656
392,980,1643,1646
393,982,1650,1656
394,985,1643,1656
395,987,1650,1659
396,990,1646,1656
397,992,1650,1656
398,995,1659,1646
399,998,1643,1653
400,1001,1646,1659
401,1003,1653,1646
402,1006,1646,1659
403,1009,1646,1653
404,1011,1659,1646
405,1014,1643,1656
406,1017,1643,1653
407,1019,1659,1646
408,1022,1653,1646
409,1024,1662,1662
410,1027,1643,1656
411,1030,1659,1650
412,1032,1646,1650
413,1035,1656,1643
414,1038,1662,1656
415,1041,1653,1662
416,1044,1669,1646
417,1047,1653,1643
418,1049,1656,1650
419,1052,1646,1656
420,1055,1666,1656
421,1057,1653,1656
422,1060,1643,1653
423,1063,1650,1656
424,1065,1650,1656
425,1068,1650,1640
426,1071,1650,1656
427,1073,1656,1662
428,1076,1650,1646
